entry_date,entry_price,exit_date,exit_price,return,capital_after,hold_days
2011-08-04,0.52050446031629,2013-12-31,1.046772003173828,2.0110721098100597,201.10721098100598,880
2014-10-15,1.0683081879483454,2014-12-03,2.1387393474578857,2.0019872276419335,402.61406777066554,49
2015-08-24,0.929418232869327,2016-06-07,1.8715765476226809,2.013707587642966,810.7470031615885,288
2018-02-08,9.0658039209359,2019-12-26,18.199920654296875,2.0075352183899895,1627.6031620510291,686
2020-03-05,13.73771135228275,2020-12-01,27.636144638061523,2.011699323808352,3274.2481805263906,271
2022-05-09,21.17866981555273,2024-03-01,47.62149810791016,2.2485594479091846,7362.341681122073,662
2025-04-04,10.015421596168231,2025-06-09,20.509191513061523,2.047761176714525,15076.317464308931,66
