Price,Close,High,Low,Open,Volume
Ticker,SOXL,SOXL,SOXL,SOXL,SOXL
Date,,,,,
2010-06-01,0.5112540125846863,0.5652464518026127,0.5112540125846863,0.5450750111530369,4530000
2010-06-02,0.5658524036407471,0.5664593349914739,0.513377791617109,0.5294533908411075,11094000
2010-06-03,0.587540864944458,0.594213694241081,0.5596346542515402,0.5760142109284255,9102000
2010-06-04,0.5111031532287598,0.5737394812599597,0.5027613949533014,0.5723745086742774,13650000
2010-06-07,0.4540776014328003,0.5259656332073349,0.4504376935375557,0.5185338404551493,18312000
2010-06-08,0.4490727186203003,0.4587794469693138,0.41570667045133447,0.4566555662303305,12504000
2010-06-09,0.44012489914894104,0.4900215846185836,0.434513087838253,0.46135738643470464,8634000
2010-06-10,0.4885046184062958,0.4901735444004138,0.45635249064785455,0.46348032875129996,9504000
2010-06-11,0.5094340443611145,0.5115579248898134,0.4671202347779083,0.47136707377674886,6510000
2010-06-14,0.5191407203674316,0.5482599233519457,0.5179277253359518,0.5340033265432588,6924000
2010-06-15,0.6055886149406433,0.609380500922026,0.5308186937898456,0.5308186937898456,14508000
2010-06-16,0.6139301657676697,0.6275797791230815,0.5769242110572412,0.5926967830165685,14226000
2010-06-17,0.6099863052368164,0.6274277475325636,0.5788960643552997,0.6260628297068705,8724000
2010-06-18,0.6058915853500366,0.6210581514372912,0.5975507496162421,0.6128683706359886,4656000
2010-06-21,0.5898158550262451,0.6489642355133439,0.5787441545235936,0.6330396861387868,9054000
2010-06-22,0.5587246417999268,0.6160530308888812,0.5535677857013174,0.592696693078062,9888000
2010-06-23,0.5635777115821838,0.5846590662075991,0.5337004588727461,0.564184643194444,8076000
2010-06-24,0.5144391059875488,0.5556919119608019,0.5076142973251783,0.553720007680158,11754000
2010-06-25,0.5161078572273254,0.5218707238974044,0.4883536201504993,0.5203538289123494,8718000
2010-06-28,0.5221737027168274,0.5390082684812921,0.5030642557352276,0.5109510023858685,4248000
2010-06-29,0.4510446786880493,0.49563345810488985,0.4420959633275829,0.49563345810488985,23970000
2010-06-30,0.4292052090167999,0.46833412188176493,0.4255653284354486,0.45362256836404363,10842000
2010-07-01,0.43087324500083923,0.44255095538133343,0.3953842100841791,0.43223819015035164,10716000
2010-07-02,0.42556530237197876,0.4381529744806372,0.40433192116515865,0.43178314995417466,7032000
2010-07-06,0.4248063266277313,0.45953733996626395,0.4138866323470723,0.4510445577939865,24060000
2010-07-07,0.491538405418396,0.49229644594476385,0.4249583001195604,0.4249583001195604,13650000
2010-07-08,0.4878988564014435,0.5097382583869727,0.4646944816220499,0.5097382583869727,14706000
2010-07-09,0.5047330856323242,0.5062491125176397,0.47970879769419356,0.4900215338348095,7512000
2010-07-12,0.5239936709403992,0.5297574589440555,0.5013962396383455,0.5071591055834506,8718000
2010-07-13,0.557662844657898,0.5629716248116153,0.533548460117937,0.5429521572503969,11688000
2010-07-14,0.552506685256958,0.5884506888255565,0.5417380201648851,0.5823838703931407,16902000
2010-07-15,0.5453780293464661,0.551141817101619,0.5168658106226025,0.5450749975286107,11166000
2010-07-16,0.4935094714164734,0.5390082316649683,0.4925995081440254,0.5353683243364403,7878000
2010-07-19,0.5308184027671814,0.5327903060607727,0.4979082393296207,0.5091309378164418,7908000
2010-07-20,0.5323352813720703,0.5324872582909507,0.4728839392345363,0.4909314424258614,14142000
2010-07-21,0.5000312328338623,0.542497070371734,0.4965433025317229,0.542497070371734,10890000
2010-07-22,0.545833170413971,0.5566017859022133,0.5080691701482014,0.5080691701482014,10308000
2010-07-23,0.556297779083252,0.5600896093038865,0.5276335277530907,0.5414351714345793,7092000
2010-07-26,0.5763174891471863,0.5795023892407553,0.5397673977702505,0.5566019161837679,8622000
2010-07-27,0.5644875764846802,0.5889058574595888,0.557207761211712,0.5889058574595888,10470000
2010-07-28,0.53521728515625,0.570099356259902,0.5262685985713332,0.5573597073557348,17106000
2010-07-29,0.5027613639831543,0.5423452953357776,0.4824388619274261,0.5412833547568685,24666000
2010-07-30,0.4869886636734009,0.4965434155639347,0.4619643703054518,0.49108358058594975,13908000
2010-08-02,0.51277095079422,0.5202027432120038,0.49335847115136366,0.5115579555699366,19812000
2010-08-03,0.4973013401031494,0.513983873018334,0.4844097150385155,0.5129228548996029,11742000
2010-08-04,0.5118611454963684,0.5133780950988391,0.4844099334360408,0.498969514619508,8508000
2010-08-05,0.49957630038261414,0.5159558023110519,0.4944194439909904,0.5089790735790287,7224000
2010-08-06,0.5001833438873291,0.5104960826833104,0.48152884819835795,0.49032469189868555,7914000
2010-08-09,0.5083731412887573,0.5156529579637755,0.49138664926621045,0.5038232694265588,7584000
2010-08-10,0.4693951904773712,0.4929034540834829,0.4557455231534918,0.4929034540834829,18732000
2010-08-11,0.41282570362091064,0.43966994996231773,0.4009960164363306,0.43921496825199674,30720000
2010-08-12,0.39629417657852173,0.40175403857686665,0.37005686123160486,0.3835545257017566,27768000
2010-08-13,0.3843125104904175,0.4090337967976684,0.38355449695384497,0.39826607769343025,9888000
2010-08-16,0.38825640082359314,0.4002371168727139,0.3715729139872245,0.3806726574912688,15528000
2010-08-17,0.40311896800994873,0.41676860891360784,0.39447420718935905,0.4032709449700437,14430000
2010-08-18,0.4166167676448822,0.4226835900685374,0.3987212035714292,0.4067590083475547,10218000
2010-08-19,0.3956872224807739,0.41798162533332,0.390227387538491,0.41176374966948753,11196000
2010-08-20,0.4002370536327362,0.4120667400143286,0.3918962471508831,0.39932709027386165,8682000
2010-08-23,0.38613250851631165,0.41343176534545356,0.385677526778357,0.4116118112742609,15390000
2010-08-24,0.366567999124527,0.379156593853012,0.3577721568070218,0.3706628613204133,13998000
2010-08-25,0.37763968110084534,0.3823415294948154,0.34806548969751483,0.3614120992291317,19578000
2010-08-26,0.35610324144363403,0.3864363347485949,0.3521603024423127,0.3843124544056085,15816000
2010-08-27,0.37733665108680725,0.38143154052202105,0.33790378381640906,0.3668719366545243,22824000
2010-08-30,0.3500373959541321,0.3768816409104236,0.34943043731234436,0.37187678811638947,11874000
2010-08-31,0.3277430832386017,0.35443538554688475,0.3228892840338917,0.34730754511548034,17046000
2010-09-01,0.3582271933555603,0.3689949130396513,0.34108869918945844,0.34108869918945844,21294000
2010-09-02,0.38203758001327515,0.38203758001327515,0.3570132615231538,0.36429304995258865,32310000
2010-09-03,0.39856910705566406,0.4072138680998104,0.37915662624185126,0.39705218494953537,39972000
2010-09-07,0.3770327568054199,0.39811416595961013,0.3730898437021096,0.39508121637720883,24540000
2010-09-08,0.37081485986709595,0.38112759764237564,0.360198168172029,0.3787016071134242,55176000
2010-09-09,0.37233179807662964,0.3856775127404743,0.3679329815317414,0.3847675221783128,16536000
2010-09-10,0.35777220129966736,0.37369677886591,0.34184765085279833,0.36899493033971914,50568000
2010-09-13,0.39326122403144836,0.3941712145833751,0.36808495435833793,0.368539936074615,34164000
2010-09-14,0.4125218391418457,0.42010558343504023,0.37885275136771535,0.3897724774993616,29940000
2010-09-15,0.40933680534362793,0.4102467686636559,0.3926542167947671,0.4040289210113328,20400000
2010-09-16,0.4179816246032715,0.4194985467442925,0.39856911622355917,0.4011470838417849,15978000
2010-09-17,0.418285608291626,0.4258684301491055,0.4117638049362406,0.42404847588428,14418000
2010-09-20,0.4232904314994812,0.42571644942357323,0.4056969810809182,0.41843663289192595,39192000
2010-09-21,0.4204084873199463,0.43148013283638004,0.4164655478777205,0.42177343233113446,18630000
2010-09-22,0.40308308601379395,0.4191642429608243,0.39367760331901613,0.41506817393787776,25320000
2010-09-23,0.4108200967311859,0.4317555552375711,0.38427213236393204,0.3918571371549943,21150000
2010-09-24,0.459669828414917,0.4620974402223052,0.42932888553627746,0.42932888553627746,25266000
2010-09-27,0.451780766248703,0.46437298743187067,0.4464713526727837,0.4631587204806933,20460000
2010-09-28,0.4728683531284332,0.4754470637066676,0.43858243469504854,0.4572422784978804,25440000
2010-09-29,0.48333606123924255,0.493955758395002,0.46422105124475266,0.46422105124475266,31692000
