entry_date,entry_price,exit_date,exit_price,hold_days,return,capital_before,capital_after
2011-03-16,0.7872786141682672,2014-02-14,1.183116436004639,1066,1.50279254981994,100.0,150.279254981994
2011-08-04,0.52050446031629,2013-07-11,0.797288179397583,707,1.5317605134701486,150.279254981994,230.19182877513052
2011-08-05,0.4633281871731917,2013-05-10,0.7072007656097412,644,1.5263495405372136,230.19182877513052,351.35319208634144
2011-08-08,0.3714208778016903,2012-01-19,0.5634251832962036,164,1.5169453764444243,351.35319208634144,532.9836002343653
2011-08-09,0.3723308148466586,2012-01-19,0.5634251832962036,163,1.5132381227383656,532.9836002343653,806.5311026689865
2011-08-10,0.3862835146230472,2012-02-01,0.5870844721794128,175,1.5198279241927168,806.5311026689865,1225.7884915662687
2011-08-11,0.3911364079470947,2012-02-01,0.5870844721794128,174,1.5009711708014206,1225.7884915662687,1839.8731873411296
2011-08-12,0.4417917909834946,2012-03-19,0.6694369316101074,220,1.51527698176519,1839.8731873411296,2787.917490144967
2011-08-15,0.4345120734099723,2012-02-16,0.6624602675437927,185,1.52460727349858,2787.917490144967,4250.479283388922
2011-08-16,0.4361799948917824,2012-02-16,0.6624602675437927,184,1.5187772830071016,4250.479283388922,6455.531377503399
2011-08-17,0.4225303707959869,2012-02-16,0.6624602675437927,183,1.567840594028335,6455.531377503399,10121.244149673486
2011-08-18,0.3824915960926473,2012-01-25,0.5785908102989197,160,1.5126889484880945,10121.244149673486,15310.294170160865
2011-08-19,0.3369929043336171,2011-09-16,0.5057929158210754,28,1.5009007884639294,15310.294170160865,22979.232591609143
2011-08-22,0.3521594963839187,2011-10-27,0.535519003868103,66,1.5206717676705463,22979.232591609143,34943.8702447949
2011-08-23,0.3457896526032252,2011-10-27,0.535519003868103,65,1.5486842935771186,34943.8702447949,54117.02300491069
2011-08-24,0.3850704488500839,2012-01-25,0.5785908102989197,154,1.5025583293309983,54117.02300491069,81313.98367462581
2011-08-25,0.37839673810688,2012-01-20,0.5716148018836975,148,1.5106229634628672,81313.98367462581,122834.77098953445
2011-08-26,0.3551924209725647,2011-10-27,0.535519003868103,62,1.5076870232810144,122834.77098953445,185196.3902286163
2014-10-15,1.0683081879483454,2014-10-31,1.675866961479187,16,1.5687111457019163,185196.3902286163,290519.64149539184
2015-08-24,0.929418232869327,2015-09-08,1.4044405221939087,15,1.5110963746192918,290519.64149539184,439003.177019383
2015-08-25,1.1890731863476425,2015-10-23,1.804842829704285,59,1.5178568068194698,439003.177019383,666343.9604542431
2015-08-26,1.1393262245620104,2015-10-22,1.73689603805542,57,1.5244940392056125,666343.9604542431,1015837.3957731541
2015-09-01,1.2254736918393876,2015-12-04,1.8497369289398196,94,1.5094056618738485,1015837.3957731541,1533310.7167231843
2015-09-02,1.2570202658073142,2016-06-23,1.9122228622436523,295,1.5212347121671408,1533310.7167231843,2332525.4868171858
2016-01-15,1.0489327416961671,2016-03-18,1.6264817714691162,63,1.5506063514034547,2332525.4868171858,3616828.8346691635
2016-01-20,0.9949385015977116,2016-03-11,1.5154613256454468,51,1.5231708524816951,3616828.8346691635,5509048.259383406
2018-02-08,9.0658039209359,2019-11-01,13.664129257202148,631,1.5072165001988642,5509048.259383406,8303328.436934501
2018-02-09,8.356496162171918,2018-03-12,12.804471969604492,31,1.532277610270153,8303328.436934501,12723004.254634202
2018-12-20,5.024808890633992,2019-02-06,7.857302665710449,48,1.5637017917947273,12723004.254634202,19894984.54998344
